customer_id,first_name,last_name,email,phone,join_date,loyalty_points_balance,last_transaction_date,status
CUST000001,Kavita,Patel,kavita.patel1@example.com,9603067431,2016-07-28,212,2025-09-16,NEW
CUST000002,Anita,Singh,anita.singh2@example.com,9329959524,2021-08-20,49,2024-06-06,ACTIVE
CUST000003,Sunita,Desai,sunita.desai3@example.com,9517008196,2020-11-23,106,2023-11-16,ACTIVE
CUST000004,Ravi,Malhotra,ravi.malhotra4@example.com,9495897402,2024-06-13,104,2023-10-25,GUEST
CUST000005,Rohan,Desai,rohan.desai5@example.com,9470603611,2018-04-27,39,2025-09-11,INACTIVE
CUST000006,Priya,Roy,priya.roy6@example.com,9364272682,2022-05-17,19,2025-03-17,ACTIVE
CUST000007,Rahul,Joshi,rahul.joshi7@example.com,9312829332,2020-08-08,62,2025-02-16,ACTIVE
CUST000008,Ravi,Verma,ravi.verma8@example.com,,2020-11-23,30,2024-01-25,ACTIVE
CUST000009,Rohan,Khan,rohan.khan9@example.com,9309768721,2018-05-11,43,2025-05-21,NEW
CUST000010,Rahul,Mehra,rahul.mehra10@example.com,9058758755,2023-12-07,308,2025-03-24,ACTIVE
CUST000011,Priya,Chatterjee,priya.chatterjee11@example.com,9766139639,2022-08-23,61,2023-08-30,ACTIVE
CUST000012,Neha,Mehra,neha.mehra12@example.com,9480531639,2019-01-28,115,,INACTIVE
CUST000013,Vishal,Verma,vishal.verma13@example.com,9457731742,2023-02-15,40,2023-04-11,INACTIVE
CUST000014,Swapna,Iyer,swapna.iyer14@example.com,9286604068,2016-09-14,548,2024-11-24,ACTIVE
CUST000015,Anita,Sharma,anita.sharma15@example.com,9957331555,2016-06-08,107,2025-10-27,INACTIVE
CUST000016,Karan,Roy,karan.roy16@example.com,9978750399,2021-06-17,21,2025-05-02,ACTIVE
CUST000017,Rahul,Desai,rahul.desai17@example.com,9156349724,2019-09-12,10,2023-01-21,ACTIVE
CUST000018,Anita,Kumar,anita.kumar18@example.com,9737566247,2024-01-23,286,2024-08-18,ACTIVE
CUST000019,Rahul,Singh,rahul.singh19@example.com,9361038846,2017-01-29,289,2024-07-28,ACTIVE
CUST000020,Sunita,Roy,sunita.roy20@example.com,9798557403,2022-11-12,97,2023-12-25,ACTIVE
CUST000021,Asha,Patel,asha.patel21@example.com,9083816460,2022-08-10,1,2025-07-22,ACTIVE
