customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,Customer_phone,Customer_since,earned_points,updated_total_points
C1000,Arjun,user0@mail.com,Gold,983,2024-04-21,REG,9860514523,2021-05-20,152018.4,153001.4
C1001,Karan,user1@mail.com,Bronze,974,2024-04-29,HS,9498906879,2018-03-28,51013.9,51987.9
C1002,Pooja,user2@mail.com,Platinum,4133,2024-09-15,REG,9716806128,2019-12-04,123678.09999999999,127811.09999999999
C1003,Priya,user3@mail.com,Bronze,3972,2024-01-14,REG,9570298515,2016-05-24,75345.55,79317.55
C1004,Pooja,user4@mail.com,Bronze,913,2024-10-14,REG,9600141462,2020-04-03,138903.5,139816.5
C1005,Karan,user5@mail.com,Gold,4549,2024-04-11,HS,9639362057,2022-09-21,10583.0,15132.0
C1006,Pooja,user6@mail.com,Gold,36,2024-10-06,HS,9340696084,2018-05-30,188902.7,188938.7
C1007,Rahul,user7@mail.com,Platinum,3387,2024-08-02,AR,9810943524,2022-11-06,197705.8,201092.8
C1008,Arjun,user8@mail.com,Gold,1711,2024-04-22,REG,9957161300,2019-07-07,12145.599999999999,13856.599999999999
C1009,Isha,user9@mail.com,Gold,3020,2024-08-17,AR,9475209597,2018-01-20,125894.1,128914.1
C1010,Priya,user10@mail.com,Gold,795,2024-05-22,AR,9657830420,2020-08-11,74322.1,75117.1
C1011,Sneha,user11@mail.com,Bronze,4036,2024-01-04,HS,9875106572,2021-01-20,179104.8,183140.8
C1012,Amit,user12@mail.com,Platinum,4688,2024-03-22,HS,9772314530,2020-07-15,205404.1,210092.1
C1013,Isha,user13@mail.com,Silver,3111,2024-08-04,AR,9957799499,2019-11-29,9553.2,12664.2
C1014,Amit,user14@mail.com,Bronze,1324,2024-06-23,REG,9542001424,2015-11-26,53069.6,54393.6
C1015,Arjun,user15@mail.com,Gold,317,2024-05-22,HS,9458209399,2021-09-15,204740.8,205057.8
C1016,Priya,user16@mail.com,Bronze,2396,2024-03-20,REG,9891816852,2015-06-13,194498.1,196894.1
C1017,Neha,user17@mail.com,Gold,2162,2024-04-20,REG,9973727854,2019-11-05,0.0,2162.0
C1018,Sneha,user18@mail.com,Gold,2745,2024-06-21,AR,9588273030,2018-08-13,94480.3,97225.3
C1019,Rahul,user19@mail.com,Bronze,1591,2024-02-22,AR,9478796089,2021-10-08,2575.28,4166.280000000001
C1020,Neha,user20@mail.com,Platinum,3111,2024-02-17,AR,9963369870,2017-10-22,161676.98,164787.98
C1021,Arjun,user21@mail.com,Gold,3930,2024-07-13,AR,9170894498,2015-04-16,175684.5,179614.5
C1022,Isha,user22@mail.com,Platinum,1996,2024-02-19,HS,9798493949,2016-01-10,32657.059999999998,34653.06
C1023,Rahul,user23@mail.com,Silver,1312,2024-07-02,HS,9925023116,2017-07-26,63052.5,64364.5
C1024,Pooja,user24@mail.com,Gold,1285,2024-06-25,AR,9509677794,2022-07-24,76834.94,78119.94
C1025,Karan,user25@mail.com,Platinum,4311,2024-05-15,HS,9483258726,2021-06-14,52253.4,56564.4
C1026,Rahul,user26@mail.com,Platinum,2383,2024-01-23,AR,9278304807,2021-08-01,58968.0,61351.0
C1027,Arjun,user27@mail.com,Silver,3239,2024-08-23,REG,9807214179,2015-03-26,301355.24,304594.24
C1028,Riya,user28@mail.com,Platinum,2139,2024-10-01,REG,9265471644,2022-07-16,8655.3,10794.3
C1029,Karan,user29@mail.com,Platinum,1704,2024-03-04,REG,9901795907,2018-01-08,140830.4,142534.4
C1030,Amit,user30@mail.com,Silver,362,2024-07-12,AR,9684683755,2021-06-18,112822.4,113184.4
C1031,Sneha,user31@mail.com,Gold,2604,2024-02-10,REG,9297760792,2015-06-14,114959.7,117563.7
